,RMSE
"(0, 0, 0)",14384.449332688186
"(0, 0, 1)",14637.67138537872
"(0, 0, 2)",14587.12808009393
"(0, 0, 3)",14583.349302871547
"(0, 0, 4)",14665.364008453556
"(0, 0, 5)",15061.548411514936
"(0, 0, 6)",14472.07181901937
"(0, 0, 7)",13712.400740910698
"(0, 1, 0)",27086.82417477807
"(0, 1, 1)",25504.128317599585
"(0, 1, 2)",25557.6127223022
"(0, 1, 3)",25536.594518691065
"(0, 1, 4)",25571.528813161258
"(0, 1, 5)",25621.691009098984
"(0, 1, 6)",25687.15561899981
"(0, 1, 7)",25494.195833531063
"(1, 0, 0)",14605.587985507032
"(1, 0, 1)",14592.355607598456
"(1, 0, 2)",15179.606789818585
"(1, 0, 3)",15034.689918556485
"(1, 0, 4)",15154.759927335579
"(1, 0, 5)",15048.148748526437
"(1, 0, 6)",14026.42061503911
"(1, 0, 7)",15430.576635456659
"(1, 1, 0)",26568.411689985336
"(1, 1, 1)",25543.670057803454
"(1, 1, 2)",25493.90376773774
"(2, 0, 0)",14598.76122690566
"(2, 0, 3)",14933.942306871297
"(2, 0, 7)",15196.191985061236
"(2, 1, 0)",26285.530400825402
"(2, 1, 1)",25547.285901985386
"(2, 1, 3)",25990.091214228833
"(3, 0, 0)",14578.628977765313
"(3, 0, 3)",14039.609059177421
"(3, 0, 7)",16035.418183605003
"(3, 1, 0)",26111.991283068823
"(3, 1, 1)",25566.491126171117
"(3, 1, 4)",24814.371701583732
"(4, 0, 0)",14782.032749446435
"(4, 0, 1)",14769.637155747214
"(4, 0, 2)",14281.027189722334
"(4, 0, 3)",15577.310339418738
"(4, 0, 4)",13555.015895778597
"(4, 1, 0)",25913.61162397543
"(4, 1, 2)",25552.82276718059
"(5, 0, 0)",14724.316128861437
"(5, 0, 1)",12746.411727590232
"(5, 0, 2)",13424.156995727364
"(5, 1, 0)",25451.456965240428
"(6, 0, 0)",14490.69315627492
"(6, 0, 5)",14855.553655398238
"(6, 0, 6)",14692.62390741477
"(6, 1, 0)",25463.835458925663
"(7, 0, 0)",14428.75253936033
"(7, 0, 6)",14183.94480226173
"(7, 0, 7)",13955.000421199968
"(7, 1, 0)",25302.528109036917
